category	entry_no	entry	synonym	source
SC	1	Adi Dharmi	Adi Dharmi	sje.rajasthan.gov.in PageID=65
SC	2	Aheri	Aheri	sje.rajasthan.gov.in PageID=65
SC	3	Badi	Badi	sje.rajasthan.gov.in PageID=65
SC	4	Bagri, Bagdi	Bagri	sje.rajasthan.gov.in PageID=65
SC	4	Bagri, Bagdi	Bagdi	sje.rajasthan.gov.in PageID=65
SC	5	Bairwa, Berwa	Bairwa	sje.rajasthan.gov.in PageID=65
SC	5	Bairwa, Berwa	Berwa	sje.rajasthan.gov.in PageID=65
SC	6	Bajgar	Bajgar	sje.rajasthan.gov.in PageID=65
SC	7	Balai	Balai	sje.rajasthan.gov.in PageID=65
SC	8	Bansphor, Bansphod	Bansphor	sje.rajasthan.gov.in PageID=65
SC	8	Bansphor, Bansphod	Bansphod	sje.rajasthan.gov.in PageID=65
SC	9	Baori	Baori	sje.rajasthan.gov.in PageID=65
SC	10	Bargi, Vargi, Birgi	Bargi	sje.rajasthan.gov.in PageID=65
SC	10	Bargi, Vargi, Birgi	Vargi	sje.rajasthan.gov.in PageID=65
SC	10	Bargi, Vargi, Birgi	Birgi	sje.rajasthan.gov.in PageID=65
SC	11	Bawaria	Bawaria	sje.rajasthan.gov.in PageID=65
SC	12	Bedia, Baria	Bedia	sje.rajasthan.gov.in PageID=65
SC	12	Bedia, Baria	Baria	sje.rajasthan.gov.in PageID=65
SC	13	Bhand	Bhand	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Bhangi	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Chura	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Mehtar	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Olgana	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Rukhi	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Malkana	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Halalkhor	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Lalbegi	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Balmiki	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Valmiki	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Korar	sje.rajasthan.gov.in PageID=65
SC	14	Bhangi, Chura, Mehtar, Olgana, Rukhi, Malkana, Halalkhor, Lalbegi, Balmiki, Valmiki, Korar, Zadmalli	Zadmalli	sje.rajasthan.gov.in PageID=65
SC	15	Bidakia	Bidakia	sje.rajasthan.gov.in PageID=65
SC	16	Bola	Bola	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Chamar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Bhambhi	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Bambhi	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Jatia	sje.rajasthan.gov.in PageID=65
