category	entry_no	entry	synonym	source
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Jatava	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Mochi	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Raidas	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Rohidas	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Regar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Raigar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Ramdasia	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Asadaru	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Asodi	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Chamadia	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Chambhar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Chamgar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Haralavya	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Harali	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Khalpa	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Machigar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Mochigar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Madar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Madig	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Telegu	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Mochi	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Kamati	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Mochi	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Ranigar	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Rohit	sje.rajasthan.gov.in PageID=65
SC	17	Chamar, Bhambhi, Bambhi, Jatia, Jatava, Mochi, Raidas, Rohidas, Regar, Raigar, Ramdasia, Asadaru, Asodi, Chamadia, Chambhar, Chamgar, Haralavya, Harali, Khalpa, Machigar, Mochigar, Madar, Madig, Telegu, Mochi, Kamati, Mochi, Ranigar, Rohit, Samgar	Samgar	sje.rajasthan.gov.in PageID=65
SC	18	Chandal	Chandal	sje.rajasthan.gov.in PageID=65
SC	19	Dabgar	Dabgar	sje.rajasthan.gov.in PageID=65
SC	20	Dhanak, Dhanuk	Dhanak	sje.rajasthan.gov.in PageID=65
SC	20	Dhanak, Dhanuk	Dhanuk	sje.rajasthan.gov.in PageID=65
SC	21	Dhankia	Dhankia	sje.rajasthan.gov.in PageID=65
SC	22	Dhobi	Dhobi	sje.rajasthan.gov.in PageID=65
SC	23	Dholi	Dholi	sje.rajasthan.gov.in PageID=65
SC	24	Dome, Dom	Dome	sje.rajasthan.gov.in PageID=65
SC	24	Dome, Dom	Dom	sje.rajasthan.gov.in PageID=65
SC	25	Gandia	Gandia	sje.rajasthan.gov.in PageID=65
SC	26	Garancha, Gancha	Garancha	sje.rajasthan.gov.in PageID=65
SC	26	Garancha, Gancha	Gancha	sje.rajasthan.gov.in PageID=65
SC	27	Garo,Garura, Gurda, Garoda	Garo	sje.rajasthan.gov.in PageID=65
SC	27	Garo,Garura, Gurda, Garoda	Garura	sje.rajasthan.gov.in PageID=65
SC	27	Garo,Garura, Gurda, Garoda	Gurda	sje.rajasthan.gov.in PageID=65
SC	27	Garo,Garura, Gurda, Garoda	Garoda	sje.rajasthan.gov.in PageID=65
SC	28	Gavaria	Gavaria	sje.rajasthan.gov.in PageID=65
SC	29	Godhi	Godhi	sje.rajasthan.gov.in PageID=65
SC	30	Jingar	Jingar	sje.rajasthan.gov.in PageID=65
SC	31	Kalbelia, Sapera	Kalbelia	sje.rajasthan.gov.in PageID=65
SC	31	Kalbelia, Sapera	Sapera	sje.rajasthan.gov.in PageID=65
SC	32	Kamad, Kamadia	Kamad	sje.rajasthan.gov.in PageID=65
SC	32	Kamad, Kamadia	Kamadia	sje.rajasthan.gov.in PageID=65
SC	33	Kanjar, Kunjar	Kanjar	sje.rajasthan.gov.in PageID=65
SC	33	Kanjar, Kunjar	Kunjar	sje.rajasthan.gov.in PageID=65
SC	34	Kapaida, Sansi	Kapaida	sje.rajasthan.gov.in PageID=65
SC	34	Kapaida, Sansi	Sansi	sje.rajasthan.gov.in PageID=65
SC	35	Khangar	Khangar	sje.rajasthan.gov.in PageID=65
SC	36	Khatik	Khatik	sje.rajasthan.gov.in PageID=65
SC	37	Koli, Kori	Koli	sje.rajasthan.gov.in PageID=65
SC	37	Koli, Kori	Kori	sje.rajasthan.gov.in PageID=65
SC	38	Kooch Band, Kuchband	Kooch Band	sje.rajasthan.gov.in PageID=65
SC	38	Kooch Band, Kuchband	Kuchband	sje.rajasthan.gov.in PageID=65
SC	39	Koria	Koria	sje.rajasthan.gov.in PageID=65
SC	40	Madari, Bazigar	Madari	sje.rajasthan.gov.in PageID=65
SC	40	Madari, Bazigar	Bazigar	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Mahar	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Taral	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Dhegumegu	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Mahyavanshi	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Dhed	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Dheda	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Vankar	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Maru	sje.rajasthan.gov.in PageID=65
SC	41	Mahar, Taral, Dhegumegu, Mahyavanshi, Dhed, Dheda, Vankar, Maru, Vankar.	Vankar	sje.rajasthan.gov.in PageID=65
SC	42	Majhabi	Majhabi	sje.rajasthan.gov.in PageID=65
SC	43	Mang, Matang, Minimadig	Mang	sje.rajasthan.gov.in PageID=65
SC	43	Mang, Matang, Minimadig	Matang	sje.rajasthan.gov.in PageID=65
SC	43	Mang, Matang, Minimadig	Minimadig	sje.rajasthan.gov.in PageID=65
SC	44	Mang, Garodi, Mang Garudi	Mang	sje.rajasthan.gov.in PageID=65
SC	44	Mang, Garodi, Mang Garudi	Garodi	sje.rajasthan.gov.in PageID=65
SC	44	Mang, Garodi, Mang Garudi	Mang Garudi	sje.rajasthan.gov.in PageID=65
SC	45	Megh, Meghval, Meghwal, Menghvar	Megh	sje.rajasthan.gov.in PageID=65
SC	45	Megh, Meghval, Meghwal, Menghvar	Meghval	sje.rajasthan.gov.in PageID=65
SC	45	Megh, Meghval, Meghwal, Menghvar	Meghwal	sje.rajasthan.gov.in PageID=65
SC	45	Megh, Meghval, Meghwal, Menghvar	Menghvar	sje.rajasthan.gov.in PageID=65
SC	46	Mehar	Mehar	sje.rajasthan.gov.in PageID=65
SC	47	Nat, Nut	Nat	sje.rajasthan.gov.in PageID=65
SC	47	Nat, Nut	Nut	sje.rajasthan.gov.in PageID=65
SC	48	Pasi	Pasi	sje.rajasthan.gov.in PageID=65
SC	49	Rawal	Rawal	sje.rajasthan.gov.in PageID=65
SC	50	Salvi	Salvi	sje.rajasthan.gov.in PageID=65
SC	51	Sansi	Sansi	sje.rajasthan.gov.in PageID=65
SC	52	Santia, Satia	Santia	sje.rajasthan.gov.in PageID=65
SC	52	Santia, Satia	Satia	sje.rajasthan.gov.in PageID=65
SC	53	Sarbhangi	Sarbhangi	sje.rajasthan.gov.in PageID=65
SC	54	Sargara	Sargara	sje.rajasthan.gov.in PageID=65
SC	55	Singiwala	Singiwala	sje.rajasthan.gov.in PageID=65
SC	56	Thori, Nayak	Thori	sje.rajasthan.gov.in PageID=65
SC	56	Thori, Nayak	Nayak	sje.rajasthan.gov.in PageID=65
SC	57	Tirgar, Tirbanda	Tirgar	sje.rajasthan.gov.in PageID=65
SC	57	Tirgar, Tirbanda	Tirbanda	sje.rajasthan.gov.in PageID=65
SC	58	Turi	Turi	sje.rajasthan.gov.in PageID=65
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Bhil	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Bhil Garasia	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Dholi Bhil	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Dungri Bhil	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Dungri Garasia	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Mewasi Bhil	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Rawal Bhil	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Tadvi Bhil	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Bhagalia	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Bhilala	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Pawra	sje.rajasthan.gov.in PageID=66
ST	1	Bhil, Bhil Garasia, Dholi Bhil, Dungri Bhil, Dungri Garasia, Mewasi Bhil, Rawal Bhil, Tadvi Bhil.Bhagalia,Bhilala,Pawra,Vasava	Vasava	sje.rajasthan.gov.in PageID=66
ST	2	Bhil Mina	Bhil Mina	sje.rajasthan.gov.in PageID=66
ST	3	Damor, Damaria	Damor	sje.rajasthan.gov.in PageID=66
ST	3	Damor, Damaria	Damaria	sje.rajasthan.gov.in PageID=66
ST	4	Dhanka, Tadvi, Tetaria, Valvi	Dhanka	sje.rajasthan.gov.in PageID=66
ST	4	Dhanka, Tadvi, Tetaria, Valvi	Tadvi	sje.rajasthan.gov.in PageID=66
ST	4	Dhanka, Tadvi, Tetaria, Valvi	Tetaria	sje.rajasthan.gov.in PageID=66
ST	4	Dhanka, Tadvi, Tetaria, Valvi	Valvi	sje.rajasthan.gov.in PageID=66
ST	5	Garasia (Excluding Rajput Garasia.)	Garasia (Excluding Rajput Garasia	sje.rajasthan.gov.in PageID=66
ST	5	Garasia (Excluding Rajput Garasia.)	)	sje.rajasthan.gov.in PageID=66
ST	6	Kathodi, Katkari, Dhor Kathodi, Dhor Katkari, Son Kathodi, Son Katkari	Kathodi	sje.rajasthan.gov.in PageID=66
ST	6	Kathodi, Katkari, Dhor Kathodi, Dhor Katkari, Son Kathodi, Son Katkari	Katkari	sje.rajasthan.gov.in PageID=66
ST	6	Kathodi, Katkari, Dhor Kathodi, Dhor Katkari, Son Kathodi, Son Katkari	Dhor Kathodi	sje.rajasthan.gov.in PageID=66
ST	6	Kathodi, Katkari, Dhor Kathodi, Dhor Katkari, Son Kathodi, Son Katkari	Dhor Katkari	sje.rajasthan.gov.in PageID=66
ST	6	Kathodi, Katkari, Dhor Kathodi, Dhor Katkari, Son Kathodi, Son Katkari	Son Kathodi	sje.rajasthan.gov.in PageID=66
ST	6	Kathodi, Katkari, Dhor Kathodi, Dhor Katkari, Son Kathodi, Son Katkari	Son Katkari	sje.rajasthan.gov.in PageID=66
ST	7	Kokna, Kokni, Kukna	Kokna	sje.rajasthan.gov.in PageID=66
ST	7	Kokna, Kokni, Kukna	Kokni	sje.rajasthan.gov.in PageID=66
ST	7	Kokna, Kokni, Kukna	Kukna	sje.rajasthan.gov.in PageID=66
ST	8	Koli Dhor, Tokre Koli, Kolcha, Kolgha	Koli Dhor	sje.rajasthan.gov.in PageID=66
ST	8	Koli Dhor, Tokre Koli, Kolcha, Kolgha	Tokre Koli	sje.rajasthan.gov.in PageID=66
ST	8	Koli Dhor, Tokre Koli, Kolcha, Kolgha	Kolcha	sje.rajasthan.gov.in PageID=66
ST	8	Koli Dhor, Tokre Koli, Kolcha, Kolgha	Kolgha	sje.rajasthan.gov.in PageID=66
ST	9	Mina	Mina	sje.rajasthan.gov.in PageID=66
ST	10	Naikda, Nayaka, Cholivala Nayaka, Kapadia Nayaka, Mota Nayaka, Nana Nayaka	Naikda	sje.rajasthan.gov.in PageID=66
ST	10	Naikda, Nayaka, Cholivala Nayaka, Kapadia Nayaka, Mota Nayaka, Nana Nayaka	Nayaka	sje.rajasthan.gov.in PageID=66
ST	10	Naikda, Nayaka, Cholivala Nayaka, Kapadia Nayaka, Mota Nayaka, Nana Nayaka	Cholivala Nayaka	sje.rajasthan.gov.in PageID=66
